Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer State,Customer City,Customer Zip Code,Order ID
Black Tea,Coca-Cola,Tea,169,1360,6232,-4872,2022-05-20,Nicholas Cohen,Wyoming,Rebeccaton,20028,0-11-254507-6
Herbal Tea,Pepsi,Tea,445,8745,1950,6795,2022-02-24,Stephanie Lewis,Wyoming,South Loretta,55491,0-501-26594-5
Vodka,Coca-Cola,Alcoholic,422,4849,4094,755,2020-09-30,Andrew Cruz,New Hampshire,West Meganview,21229,1-63157-117-6
Energy Drink,Coca-Cola,Soft Drink,282,9990,2297,7693,2021-04-19,Daniel Hansen,Alaska,Port Angela,78795,0-478-59521-2
Vodka,Coca-Cola,Alcoholic,687,5833,1586,4247,2021-03-09,Renee Torres,Maryland,Jayfort,03800,0-12-714479-X
Black Tea,Pepsi,Tea,523,5401,3284,2117,2023-05-13,Brandon Jacobs,Maine,Smithland,32172,1-4578-5914-9
Vodka,Coca-Cola,Alcoholic,122,7454,629,6825,2020-09-28,Kari Day,New Jersey,Davidhaven,83026,0-938811-73-8
Cola,Coca-Cola,Soft Drink,122,6632,2036,4596,2022-08-30,Nicole Ramirez,North Carolina,Kevinfort,41927,0-666-77303-3
Vodka,Coca-Cola,Alcoholic,489,7786,7462,324,2020-06-24,Regina Wilkins,California,East Katrina,21707,1-72026-963-7
Beer,Coca-Cola,Alcoholic,716,3069,4989,-1920,2022-07-07,Michelle Taylor,Minnesota,Port Dorothyfurt,20022,0-651-09026-1
Energy Drink,Dr. Pepper,Soft Drink,887,7992,1128,6864,2022-05-29,Theresa Lara,Maine,Patrickmouth,98469,1-117-03366-X
Vodka,Pepsi,Alcoholic,679,8058,2138,5920,2022-01-14,Kelly Hart,North Carolina,Reyesborough,58410,1-322-54128-0
Vodka,Pepsi,Alcoholic,536,2899,897,2002,2022-12-09,John Brock,Maine,Robertport,51715,0-353-75679-2
Lemonade,Coca-Cola,Soft Drink,905,2332,1685,647,2022-04-01,Darryl Harris,Virginia,Garystad,20024,0-19-415578-1
Coffee,Dr. Pepper,Coffee,517,9156,2441,6715,2020-05-26,John Harrison,New Jersey,South Michaelstad,03569,1-02-337097-2
Energy Drink,Pepsi,Soft Drink,260,9012,7024,1988,2020-05-15,John Brown,Texas,Andrewborough,49069,0-352-76326-4
Lemonade,Dr. Pepper,Soft Drink,364,6872,7899,-1027,2021-03-06,Juan Sanchez,Ohio,South Janet,30820,1-933809-11-6
Lemonade,Pepsi,Soft Drink,165,2033,7233,-5200,2022-09-02,Andrew Barton,Massachusetts,Smithland,57537,1-84835-265-4
Cola,Dr. Pepper,Soft Drink,537,3845,6340,-2495,2020-06-04,Larry Robinson,Alabama,South Robertberg,03367,0-311-98569-6
Energy Drink,Coca-Cola,Soft Drink,901,4458,4777,-319,2021-09-01,Kayla Atkins,Tennessee,East Daniel,72518,0-7365-2956-X
Beer,Dr. Pepper,Alcoholic,758,6359,2875,3484,2023-01-29,Carrie Joyce,Rhode Island,South Jasonbury,30511,1-303-08002-8
Beer,Coca-Cola,Alcoholic,103,1358,3268,-1910,2021-12-15,Anthony Gonzalez,Kansas,Tammytown,27826,0-911437-66-5
Beer,Coca-Cola,Alcoholic,642,7707,4706,3001,2020-03-19,Peter Franklin,Louisiana,Port Colin,07205,1-935286-10-2
Lemonade,Pepsi,Soft Drink,224,9894,992,8902,2023-05-22,Jessica Lowery,Wisconsin,Shawntown,29085,1-83884-097-4
Green Tea,Pepsi,Tea,609,3677,5546,-1869,2022-08-12,Roberta Osborne,Ohio,Jennaview,01339,0-493-66372-X
Wine,Coca-Cola,Alcoholic,618,7373,5157,2216,2021-12-16,William Rowland,Texas,East Alexanderburgh,26817,1-5307-3339-1
Cola,Coca-Cola,Soft Drink,449,2695,7595,-4900,2023-06-27,Jasmine Choi,Oklahoma,East Erik,58591,0-562-99446-7
Energy Drink,Dr. Pepper,Soft Drink,820,6811,595,6216,2020-11-15,Sarah Charles,Connecticut,Rebeccaton,06209,1-03-925284-2
Wine,Coca-Cola,Alcoholic,403,4952,4783,169,2023-05-03,Allen Kim,Oklahoma,Powellport,68106,1-301-01996-8
Energy Drink,Coca-Cola,Soft Drink,129,6116,6765,-649,2022-05-21,Lawrence Johnson,Illinois,Yvonneside,27716,1-60048-106-X
Cola,Coca-Cola,Soft Drink,232,7005,6924,81,2021-11-12,William Leach,Arkansas,Port Debra,59381,1-78877-774-3
Herbal Tea,Coca-Cola,Tea,890,8004,3271,4733,2022-05-22,Bill Miller,Louisiana,Brownbury,03474,1-7369465-8-7
Black Tea,Coca-Cola,Tea,610,1216,4312,-3096,2020-08-23,John Meza,Montana,South Samanthaview,85655,0-7883-0979-X
Cola,Pepsi,Soft Drink,434,2929,5536,-2607,2021-04-14,Debra Barr,Georgia,Bentleybury,82988,1-5329-5965-6
Green Tea,Coca-Cola,Tea,643,4901,6533,-1632,2022-09-14,Debra Rogers,New Mexico,Port Dawnbury,82274,0-699-30084-3
Wine,Pepsi,Alcoholic,242,6664,7166,-502,2021-06-23,Kerry Lowe,New Mexico,South Trevorview,72131,0-660-76142-4
Green Tea,Pepsi,Tea,974,3883,1193,2690,2023-07-20,Andrea Ferguson,Rhode Island,New Michaelberg,02907,1-59437-729-4
Cola,Dr. Pepper,Soft Drink,571,8744,2249,6495,2023-01-02,Susan Jimenez,South Carolina,West Jill,04340,0-7908-5948-3
Wine,Pepsi,Alcoholic,756,5493,2756,2737,2021-12-19,Chase Hull,Illinois,Lake Brenda,40497,0-550-00053-4
Cola,Coca-Cola,Soft Drink,792,5346,2432,2914,2023-04-03,Laura Smith,Nebraska,Mullenside,88996,0-9683300-0-2
Green Tea,Coca-Cola,Tea,368,9498,6817,2681,2022-05-22,Michelle Cook,California,New Andrewstad,99603,1-4778-0956-2
Lemonade,Dr. Pepper,Soft Drink,789,2748,3640,-892,2021-05-09,Matthew Rios,Alaska,Tracytown,99621,0-19-603044-7
Green Tea,Pepsi,Tea,753,1547,1774,-227,2021-08-14,Valerie Woodward,South Dakota,North Jeffrey,99752,1-82275-018-0
Wine,Coca-Cola,Alcoholic,863,8971,572,8399,2022-10-24,Diana Torres,New Jersey,Josephborough,78591,0-462-74452-3
Green Tea,Pepsi,Tea,584,8983,2501,6482,2022-01-05,Chris Villarreal,Georgia,West Michaelton,77811,0-335-14229-X
Black Tea,Dr. Pepper,Tea,685,4270,5050,-780,2022-11-22,Ruben Gonzalez,Wyoming,Yuborough,84707,1-179-20048-9
Herbal Tea,Dr. Pepper,Tea,864,9166,3825,5341,2021-04-28,Nicole Horton,Mississippi,South Deanland,64052,0-272-27531-X
Beer,Dr. Pepper,Alcoholic,147,3610,7509,-3899,2021-01-03,Benjamin Horton,Wisconsin,West Mary,54776,1-102-45844-9
Wine,Pepsi,Alcoholic,358,1998,5489,-3491,2021-11-10,Jonathan Wright,New Mexico,South Alexander,70497,1-942134-63-0
Black Tea,Dr. Pepper,Tea,334,1343,4830,-3487,2023-02-28,Timothy Bruce,New Jersey,Krystalview,23881,1-75905-436-4
Beer,Coca-Cola,Alcoholic,606,3153,683,2470,2022-01-18,Cynthia Rodriguez,Virginia,East Donald,82189,0-8497-5821-1
Wine,Dr. Pepper,Alcoholic,927,6548,1694,4854,2022-03-13,Latoya Brown,Georgia,Lake April,58836,0-617-70133-4
Cola,Pepsi,Soft Drink,616,6486,1846,4640,2021-08-08,Ashley Ballard,Florida,South Shelbyside,38947,0-7154-6060-9
Black Tea,Pepsi,Tea,979,9707,7569,2138,2020-10-14,Crystal Hunt,Kansas,Rodriguezmouth,17405,0-297-98093-9
Green Tea,Pepsi,Tea,918,1685,6869,-5184,2020-12-05,Paula Castillo DDS,Ohio,West Richardburgh,24731,0-7089-4658-5
Energy Drink,Dr. Pepper,Soft Drink,277,5683,1635,4048,2022-12-21,Daniel Scott,Arkansas,West Robert,98619,1-180-04297-2
Cola,Dr. Pepper,Soft Drink,958,1759,4410,-2651,2021-03-27,Preston Joyce,Alaska,West Hailey,19783,1-55738-959-4
Herbal Tea,Coca-Cola,Tea,772,1116,607,509,2023-01-12,Brandon Montoya,Tennessee,Port Gary,35215,0-07-109957-3
Coffee,Pepsi,Coffee,600,3114,3819,-705,2022-08-21,Dana Schwartz,Massachusetts,Lake Matthew,48153,1-7322315-4-0
Coffee,Dr. Pepper,Coffee,347,9009,4117,4892,2020-03-21,Nichole Brown,New Mexico,East Gloriashire,58412,1-130-01732-X
Cola,Coca-Cola,Soft Drink,219,3086,5266,-2180,2021-01-15,Justin James,North Carolina,Kathyborough,83830,1-57887-495-5
Vodka,Pepsi,Alcoholic,864,5862,4919,943,2020-02-21,Renee Mitchell,New Mexico,North Deanna,73103,0-491-34114-8
Green Tea,Coca-Cola,Tea,200,2606,7436,-4830,2020-11-30,Elizabeth Mccarty,Michigan,Michaelshire,56260,1-199-03400-2
Cola,Coca-Cola,Soft Drink,104,6275,1036,5239,2020-07-29,Ruben Shea,Alabama,South Lindseyberg,24281,1-5362-7396-1
Wine,Coca-Cola,Alcoholic,979,3059,4086,-1027,2021-12-15,Tina Rowland,Michigan,East Robert,30252,1-05-347139-4
Herbal Tea,Dr. Pepper,Tea,313,5311,1172,4139,2023-03-02,Darren Cruz,Oklahoma,Greeneland,25378,1-83568-390-8
Black Tea,Coca-Cola,Tea,659,4874,870,4004,2022-06-08,Dennis Wilson,New Mexico,Osbornmouth,89852,0-13-789625-5
Wine,Dr. Pepper,Alcoholic,336,3439,4218,-779,2023-02-19,Kenneth Erickson,Tennessee,Port Kayla,07743,1-4345-8044-X
Beer,Pepsi,Alcoholic,162,6040,712,5328,2020-09-17,Blake Lang,Wyoming,Larsonfurt,71872,0-7140-1514-8
Herbal Tea,Coca-Cola,Tea,394,2061,2694,-633,2022-06-23,Joseph Jackson Jr.,North Dakota,Susanbury,38173,0-9653941-6-6
Green Tea,Coca-Cola,Tea,989,4285,6118,-1833,2021-08-14,Brenda Jimenez,Massachusetts,Martinezchester,80967,0-358-83533-X
Beer,Dr. Pepper,Alcoholic,593,2290,1054,1236,2023-05-15,Denise Singleton,Utah,Port Douglas,19914,1-66166-586-1
Cola,Coca-Cola,Soft Drink,960,2869,4623,-1754,2020-02-03,Sheila Hill,Michigan,Port Phyllisshire,48707,0-662-94559-X
Herbal Tea,Dr. Pepper,Tea,328,4235,6854,-2619,2023-04-08,Lori Long,Tennessee,Morahaven,63775,0-628-93935-3
Coffee,Dr. Pepper,Coffee,844,9125,3488,5637,2023-01-01,Lauren Hester,Kentucky,New Colleenborough,07611,1-348-98632-8
Cola,Coca-Cola,Soft Drink,621,6243,7323,-1080,2021-11-13,Crystal Hooper,Kentucky,New Mariachester,83321,1-4565-6839-6
Green Tea,Coca-Cola,Tea,657,8073,568,7505,2023-04-24,Colleen Smith,Vermont,East Brandon,22768,0-89649-176-5
Beer,Dr. Pepper,Alcoholic,823,4458,1435,3023,2021-10-23,Jose Davis,South Dakota,Andrewmouth,67038,1-5316-9179-X
Coffee,Pepsi,Coffee,978,4970,711,4259,2021-04-23,Linda Thompson,Hawaii,Lisachester,44113,1-926038-62-2
Cola,Dr. Pepper,Soft Drink,660,4456,2234,2222,2020-09-23,Kelly Brown,Montana,Harrismouth,05162,0-511-77452-4
Black Tea,Pepsi,Tea,289,8611,4918,3693,2021-10-22,Mary Martinez,Alaska,Port Annaberg,05167,1-100-29465-1
Coffee,Pepsi,Coffee,713,3640,7662,-4022,2022-04-07,Shawn Burnett,Minnesota,South Heather,34022,1-878819-91-7
Beer,Dr. Pepper,Alcoholic,973,3339,6818,-3479,2023-03-04,Amanda Stephens,Nevada,Williamville,33331,1-945624-68-X
Coffee,Pepsi,Coffee,581,3852,3109,743,2022-02-10,Sheri Sweeney,Virginia,East Sandyshire,02808,1-68923-444-X
Green Tea,Coca-Cola,Tea,509,8021,6994,1027,2022-09-19,Antonio Sanchez,Kansas,South Joseph,96841,1-163-74000-4
Beer,Dr. Pepper,Alcoholic,737,4795,3123,1672,2020-04-27,James Campbell,Colorado,Robertburgh,38217,0-308-85719-4
Vodka,Pepsi,Alcoholic,643,7016,3504,3512,2023-03-08,Crystal Charles,Wisconsin,New Kevin,36364,0-457-65179-2
Beer,Dr. Pepper,Alcoholic,155,4474,1563,2911,2021-12-18,Benjamin Sawyer,Montana,East Johnburgh,34760,0-547-79614-5
Green Tea,Pepsi,Tea,492,8307,6832,1475,2022-08-05,Curtis Pena DDS,New Hampshire,Skinnerburgh,47447,0-7788-1449-1
Green Tea,Coca-Cola,Tea,271,8502,5868,2634,2021-12-07,Eric Herrera,Missouri,North Tylerfurt,82261,0-11-523113-7
Cola,Dr. Pepper,Soft Drink,596,1553,2179,-626,2022-07-23,Adrian Jordan,Massachusetts,Christianfurt,38459,0-640-61043-9
Beer,Coca-Cola,Alcoholic,293,7851,6920,931,2020-05-14,James Clark,New York,East Brian,37720,1-249-27334-X
Beer,Pepsi,Alcoholic,166,8811,5904,2907,2021-10-22,Scott Moore,Maryland,New Patriciatown,46568,1-902861-09-4
Beer,Pepsi,Alcoholic,278,5971,3628,2343,2020-02-25,Matthew Welch,Georgia,Port James,96808,1-02-697704-5
Energy Drink,Coca-Cola,Soft Drink,950,9563,4409,5154,2021-12-08,Susan Shannon,Massachusetts,Bellview,67860,1-296-66843-6
Coffee,Coca-Cola,Coffee,957,5134,5234,-100,2023-02-16,Kim Greer,North Carolina,South Patrick,76268,1-292-14869-1
Wine,Coca-Cola,Alcoholic,375,8148,6199,1949,2020-05-13,Bonnie Russell,Hawaii,South Jerryland,21140,0-7899-4217-8
Green Tea,Dr. Pepper,Tea,645,7170,1184,5986,2022-12-09,Bradley Gardner,Minnesota,East Lee,71167,1-4137-6182-8
Vodka,Coca-Cola,Alcoholic,258,9381,5261,4120,2020-08-05,Mary Carter,Michigan,Vanessaborough,45073,0-09-810714-3
Black Tea,Dr. Pepper,Tea,781,1103,4363,-3260,2021-06-28,Lisa Rivera,Oregon,Singhfurt,44583,1-04-552673-8
Black Tea,Dr. Pepper,Tea,493,7174,3495,3679,2022-04-28,Michael Garcia,West Virginia,Tabithachester,83816,1-4134-4402-4
Lemonade,Dr. Pepper,Soft Drink,347,4125,3222,903,2022-11-03,Russell Cordova,Kansas,Robertsburgh,28303,0-576-60015-6
Beer,Pepsi,Alcoholic,931,7756,2827,4929,2020-06-15,Lauren Valenzuela,Connecticut,New Edward,33017,0-499-60099-1
Green Tea,Pepsi,Tea,962,2082,6163,-4081,2021-01-06,Jessica Robinson,Alabama,Alexanderburgh,34396,0-7925-7975-5
Energy Drink,Pepsi,Soft Drink,768,6082,1970,4112,2020-01-17,Ellen Flores,Maine,Lake Sonya,20019,0-13-486408-5
Cola,Coca-Cola,Soft Drink,641,8359,2409,5950,2021-07-31,Kyle Woods,New Mexico,South Brandon,38326,1-128-66022-9
Black Tea,Coca-Cola,Tea,637,1378,1177,201,2022-11-26,Matthew Jenkins,Colorado,Danielberg,93758,0-7421-1563-1
Vodka,Pepsi,Alcoholic,879,2533,1629,904,2022-01-13,Laura Soto,Massachusetts,New Melissa,73060,0-7416-7320-7
Coffee,Pepsi,Coffee,458,6571,5446,1125,2022-06-07,Michael Schmidt,Maine,North Kristaton,53129,1-59001-793-5
Black Tea,Dr. Pepper,Tea,186,3143,4828,-1685,2021-05-02,Kendra Miller,South Carolina,Morrishaven,08370,0-322-71308-0
Wine,Pepsi,Alcoholic,159,8167,4133,4034,2023-01-09,Megan Palmer,Texas,Summermouth,07455,0-7350-8934-5
Wine,Dr. Pepper,Alcoholic,307,5274,1134,4140,2020-10-07,Kayla Mccann,Montana,New Patricia,45245,1-5447-3590-1
Coffee,Dr. Pepper,Coffee,989,8426,7238,1188,2021-10-15,Kaitlin Hart,West Virginia,Hillborough,73055,1-5474-3025-7
Coffee,Coca-Cola,Coffee,807,4849,6247,-1398,2022-11-29,Donna Wagner,Mississippi,Lake Franciscoton,28361,1-292-84935-5
Black Tea,Dr. Pepper,Tea,911,8006,7099,907,2020-12-07,Cassandra Robertson,Iowa,Bradleyland,29520,1-340-07188-6
Cola,Pepsi,Soft Drink,811,9279,5935,3344,2022-01-13,Phillip Thomas,Wisconsin,West Christinashire,81403,0-233-03199-5
Lemonade,Pepsi,Soft Drink,120,9302,4490,4812,2021-08-22,Angela Rodriguez,Montana,North Steve,19848,1-944069-99-2
Energy Drink,Dr. Pepper,Soft Drink,677,9139,1404,7735,2020-06-05,Susan Wilkins,Alabama,Justinberg,04605,1-62349-607-1
Lemonade,Dr. Pepper,Soft Drink,344,2894,7078,-4184,2021-09-23,Kevin Fernandez,Virginia,Port Anita,72452,1-890553-51-4
Cola,Dr. Pepper,Soft Drink,534,9319,6159,3160,2020-02-01,John Richards,Montana,New Allenhaven,87477,1-332-22797-X
Cola,Pepsi,Soft Drink,151,9372,6314,3058,2020-11-29,David Green,Idaho,Reneeland,99820,0-7783-4984-5
Cola,Coca-Cola,Soft Drink,130,4970,5251,-281,2022-02-16,Andrea Walsh,Rhode Island,West James,98016,0-7122-8182-7
Vodka,Coca-Cola,Alcoholic,636,8588,505,8083,2022-03-31,Carla Baird,Illinois,Muellerburgh,04335,1-67208-437-7
Black Tea,Coca-Cola,Tea,357,8993,1296,7697,2021-08-16,Carla Jones,Indiana,West Coryton,55011,0-231-16668-0
Energy Drink,Dr. Pepper,Soft Drink,578,1346,3942,-2596,2022-05-18,Amber Scott,Wyoming,Nguyenside,04867,1-226-02201-4
Energy Drink,Coca-Cola,Soft Drink,125,9106,4307,4799,2020-03-20,Keith Clark,Kentucky,Martineztown,05389,0-698-70267-0
Lemonade,Coca-Cola,Soft Drink,543,3906,5445,-1539,2020-05-14,Deanna Wilson,South Carolina,Lake Williammouth,29089,1-344-68718-0
Green Tea,Dr. Pepper,Tea,295,3306,4876,-1570,2021-04-30,John Burns,Georgia,East Stephanie,81479,1-7360353-4-7
Vodka,Dr. Pepper,Alcoholic,529,9378,7556,1822,2022-11-10,Christine Underwood,Wyoming,Perezfort,29800,0-7265-6926-7
Black Tea,Pepsi,Tea,464,8816,6706,2110,2023-02-11,Amanda Rodriguez,West Virginia,North Lisahaven,68034,1-4448-3321-9
Cola,Pepsi,Soft Drink,166,9520,2605,6915,2020-05-13,Steven Roberts,Minnesota,Lake Lisafort,98488,1-240-82701-6
Vodka,Coca-Cola,Alcoholic,470,4923,4371,552,2021-03-17,Maria Browning,Rhode Island,North Erica,89165,0-314-03821-3
Coffee,Pepsi,Coffee,471,2183,862,1321,2023-03-14,Kelly Medina,New Mexico,New Dorothy,20028,0-604-98601-7
Beer,Coca-Cola,Alcoholic,579,1494,756,738,2020-07-23,Tony Zavala,Maryland,East Kennethhaven,06136,0-9770898-2-7
Black Tea,Dr. Pepper,Tea,153,1043,6242,-5199,2022-06-18,Tammy Contreras,Kansas,West Stephanie,68103,0-343-19176-8
Wine,Coca-Cola,Alcoholic,227,1751,4490,-2739,2020-09-18,Christina Black,Washington,New Adamville,35196,1-00-594533-0
Coffee,Pepsi,Coffee,114,4712,2923,1789,2022-05-25,Jamie Mitchell,Ohio,Gavinside,62277,0-482-04235-4
Black Tea,Dr. Pepper,Tea,575,9685,4229,5456,2021-06-08,Jennifer Jordan,Georgia,Lake Thomasville,05371,0-618-17667-5
Wine,Coca-Cola,Alcoholic,523,9671,6391,3280,2022-06-22,Julie Mccoy,Illinois,Danielville,98434,0-489-10488-6
Lemonade,Coca-Cola,Soft Drink,136,9958,617,9341,2023-04-14,Alicia Olson MD,Vermont,East Evan,64584,1-231-42382-X
Cola,Pepsi,Soft Drink,353,4386,2459,1927,2023-05-18,Rebecca Warren,Colorado,Port Timothy,08537,0-9967927-2-4
Beer,Coca-Cola,Alcoholic,982,6980,7221,-241,2022-02-07,Angela Roy,Iowa,Port Justin,48708,1-125-38829-3
Wine,Dr. Pepper,Alcoholic,465,5918,5344,574,2021-10-29,Robert Smith,Virginia,Evanhaven,84334,1-112-58389-0
Wine,Dr. Pepper,Alcoholic,202,3852,4434,-582,2022-02-13,Steven Walker,New Mexico,Greerburgh,98967,0-598-44333-9
Green Tea,Dr. Pepper,Tea,834,7296,608,6688,2023-01-09,Lisa Frazier,Montana,Jacksonton,08294,0-468-79723-8
Coffee,Coca-Cola,Coffee,777,5359,1153,4206,2020-05-31,Daniel Martin,Pennsylvania,Williamsstad,84059,1-308-13055-4
Vodka,Pepsi,Alcoholic,236,6390,3801,2589,2021-02-23,Nicholas Henson,Kentucky,North Jermainefort,13401,0-232-77178-2
Cola,Dr. Pepper,Soft Drink,952,7176,7096,80,2021-04-13,Lisa Jackson,Vermont,Jenniferview,55834,0-609-22087-X
Beer,Pepsi,Alcoholic,995,1907,3531,-1624,2022-03-14,Johnny Alvarez,Pennsylvania,Priceberg,98295,1-56534-197-X
Wine,Dr. Pepper,Alcoholic,888,2984,7703,-4719,2023-03-25,Carrie Webb,Iowa,Justinview,50880,1-85069-701-9
Beer,Pepsi,Alcoholic,808,3926,7399,-3473,2021-02-03,Rebecca Smith,Montana,Port Sandra,06288,1-888715-01-4
Lemonade,Coca-Cola,Soft Drink,431,6097,958,5139,2022-03-21,Cassandra Alexander,Rhode Island,Crystalland,83478,1-68701-964-9
Vodka,Coca-Cola,Alcoholic,165,5595,6069,-474,2021-07-07,William Stone,Virginia,Cruzstad,26568,1-80865-478-1
Coffee,Dr. Pepper,Coffee,1000,1453,7439,-5986,2022-05-26,Ashley White,Wisconsin,Elizabethhaven,29208,0-10-973075-5
Herbal Tea,Pepsi,Tea,337,2302,5102,-2800,2021-10-15,Caroline Wiggins,Colorado,Lake Brian,31209,0-631-49732-3
Green Tea,Pepsi,Tea,229,4144,3017,1127,2020-02-21,Kristin Harvey,California,Hermanbury,03812,0-18-188171-3
Energy Drink,Dr. Pepper,Soft Drink,160,8393,774,7619,2020-10-15,Michael Stevenson,West Virginia,North Miguelton,84083,0-200-72108-9
Cola,Pepsi,Soft Drink,505,7652,3893,3759,2020-08-04,Jennifer Murphy,Michigan,Brendamouth,06060,0-438-51199-9
Energy Drink,Dr. Pepper,Soft Drink,114,1640,5672,-4032,2021-01-12,Heather Sutton,Nevada,South Robert,85738,1-4459-8911-5
Black Tea,Pepsi,Tea,940,5301,6357,-1056,2023-04-13,Dustin Aguirre,New York,Blackburnmouth,19719,1-5376-0455-4
Coffee,Coca-Cola,Coffee,190,4916,4112,804,2021-07-01,Amanda Hopkins,Wyoming,Adamshire,80076,1-60133-903-8
Coffee,Dr. Pepper,Coffee,779,8660,1374,7286,2020-06-02,Andrew Jones,West Virginia,Port Briannabury,70916,0-431-72912-3
Lemonade,Coca-Cola,Soft Drink,317,6872,1815,5057,2020-12-04,Barbara Phillips,Utah,East Jasonstad,35038,1-4778-5378-2
Black Tea,Coca-Cola,Tea,615,4357,1575,2782,2020-01-11,Roger Houston,Georgia,Dylanberg,51297,1-61570-083-8
Energy Drink,Coca-Cola,Soft Drink,802,5600,6284,-684,2021-12-02,Dr. Marcus Clayton V,West Virginia,North Edward,59871,0-258-58533-1
Green Tea,Dr. Pepper,Tea,531,4782,6104,-1322,2023-06-07,Diana Howard,Texas,Stephaniehaven,63487,0-312-57185-2
Green Tea,Coca-Cola,Tea,343,3384,7638,-4254,2020-06-19,Kimberly Cole,Kentucky,West Danielview,98023,1-964287-70-7
Lemonade,Pepsi,Soft Drink,404,3839,7768,-3929,2023-07-23,Michael Howard,Alaska,Warrenchester,87093,0-04-683486-9
Cola,Dr. Pepper,Soft Drink,374,2634,2482,152,2021-01-27,Karen Chang,North Dakota,West Anthonymouth,83235,0-06-190672-7
Herbal Tea,Dr. Pepper,Tea,328,1672,4301,-2629,2022-03-13,Shane Hoffman,Hawaii,Jasonburgh,05138,0-9845276-6-4
Lemonade,Dr. Pepper,Soft Drink,625,8871,5275,3596,2021-08-28,Tonya Brown,Hawaii,North Kathystad,95455,0-298-66039-3
Cola,Dr. Pepper,Soft Drink,396,2050,3244,-1194,2020-09-29,James Roberts Jr.,Hawaii,Gallegoshaven,96715,1-5216-3518-8
Green Tea,Pepsi,Tea,106,3459,4463,-1004,2023-06-15,Katherine Lynch,West Virginia,Port Alexmouth,20013,1-888891-25-4
Wine,Coca-Cola,Alcoholic,897,2577,6891,-4314,2022-06-26,Dana Cervantes,Alaska,West Rachel,87814,0-308-49059-2
Herbal Tea,Coca-Cola,Tea,118,1243,1416,-173,2022-03-28,Lisa Acosta,Pennsylvania,Thompsonbury,97792,1-58090-423-8
Vodka,Coca-Cola,Alcoholic,384,9149,7027,2122,2022-04-25,Ruth Gardner,Montana,Andrewtown,83080,0-247-97378-5
Energy Drink,Dr. Pepper,Soft Drink,531,7861,2671,5190,2021-06-30,Erik Davis,Virginia,Cassidyside,38759,1-76839-348-6
Coffee,Pepsi,Coffee,930,8213,4516,3697,2022-06-24,Debbie Gonzalez,Washington,North Raymondhaven,66739,0-19-283896-2
Herbal Tea,Pepsi,Tea,425,7546,1909,5637,2021-11-17,Melanie Meyer,Minnesota,Lake Melissa,19846,0-289-09553-0
Green Tea,Pepsi,Tea,128,2843,7618,-4775,2020-01-10,Jennifer Gregory,Pennsylvania,East Robert,98325,1-326-73064-9
Cola,Pepsi,Soft Drink,538,3363,1822,1541,2020-10-22,Jennifer Schaefer,Utah,New Andre,21821,1-7344443-6-3
Coffee,Pepsi,Coffee,396,1519,5715,-4196,2020-03-03,Shirley Kim,Oregon,Taylorland,66707,0-586-82190-2
Wine,Coca-Cola,Alcoholic,727,4446,5143,-697,2023-04-20,Rebecca Jordan DVM,Nebraska,Port Jacob,11517,1-56605-597-0
Coffee,Pepsi,Coffee,494,3667,4855,-1188,2022-07-25,Trevor Smith,Washington,East Dawn,07764,1-84243-180-3
Black Tea,Coca-Cola,Tea,398,6173,3556,2617,2020-09-19,Michael Hart,Indiana,South Joelport,34370,1-02-470250-2
Herbal Tea,Dr. Pepper,Tea,265,8542,3647,4895,2022-08-05,Carla Gross,Utah,Mariaside,20011,1-70231-735-8
Energy Drink,Coca-Cola,Soft Drink,629,7835,4008,3827,2023-05-02,Victoria Bonilla,Indiana,Woodview,68051,1-72571-012-9
Wine,Pepsi,Alcoholic,118,8301,7011,1290,2021-12-18,Michael Graham,Colorado,West Christopher,80609,1-55129-138-X
Energy Drink,Pepsi,Soft Drink,273,7379,3393,3986,2020-09-18,Steven Johnson,Wisconsin,East Sabrina,02938,0-609-03052-3
Green Tea,Coca-Cola,Tea,532,9071,3877,5194,2022-10-25,Kevin Brady,Wyoming,South Jessicabury,31523,1-131-79496-6
Lemonade,Dr. Pepper,Soft Drink,788,3145,1575,1570,2021-07-03,Debbie Marquez,New Hampshire,West Sandramouth,33027,1-71523-710-2
Energy Drink,Coca-Cola,Soft Drink,982,7625,1776,5849,2023-01-20,Daniel Hoover,Iowa,Myersside,42473,0-425-66514-3
Vodka,Pepsi,Alcoholic,267,3322,1301,2021,2020-06-28,Rachel Rojas,New Jersey,New Jeffreystad,05300,0-524-31366-0
Vodka,Coca-Cola,Alcoholic,248,2154,3920,-1766,2021-01-06,Anthony George,Michigan,Joshuamouth,83462,0-2285-7406-4
Green Tea,Coca-Cola,Tea,337,3685,7575,-3890,2022-10-27,David Clark,Nevada,East Elaineville,65231,1-83628-766-6
Vodka,Coca-Cola,Alcoholic,492,5089,6191,-1102,2021-01-05,Roy Guerrero,New York,Lake Moniquebury,88412,0-7113-7147-4
Beer,Dr. Pepper,Alcoholic,943,4906,5325,-419,2021-01-18,Robert Murillo,Maine,Gregorybury,05445,0-283-04107-2
Energy Drink,Coca-Cola,Soft Drink,423,8743,6521,2222,2023-01-21,Nicholas Davis,Vermont,Port Ashley,32747,0-01-774777-5
Green Tea,Pepsi,Tea,725,9960,1601,8359,2020-01-31,Steven Garcia,Arkansas,New Jason,11753,0-223-41182-5
